state,town,business_type,business_name,open,website_or_social_from_csv,notes,phone_from_csv
CT,Bridgeport,Restaurant,Betty's African Kitchen,Yes,https://www.doordash.com/store/betty-s-kitchen-bridgeport-629655/en-US,,
CT,Bridgeport,Restaurant,Miss Thelma's Soulfood,,https://www.facebook.com/missthelmas/,,
CT,Bridgeport,Restaurant,Shandal's Vegetarian Restaurant,,https://www.facebook.com/Shandals-Vegetarian-Cafe-138932232940462/,,
CT,Bridgeport,Restaurant,Surf vs. Turf,,https://www.ordersurfvsturfct.com/,,
CT,Bridgeport,Restaurant,Ten20,,https://www.ten20-ct.com/,,
CT,Bridgeport,Restaurant,Trap Chicken,,https://www.facebook.com/trapchicken/,,
CT,Bridgeport,Restaurant,Jr's Meatless Cuisine and Juices,,https://www.facebook.com/pages/category/Vegetarian-Vegan-Restaurant/Jrs-Meatless-Cuisine-and-Juices-105971304226853/,,
CT,East Hartford,Restaurant,Perfect Poundcakes,,https://perfectpoundcakes.org/,,
CT,East Hartford,Restaurant,Sidibe,,https://www.facebook.com/sidibeafricanresaurant/,,
CT,East Hartford,Restaurant,Sun Splash,,https://www.sunsplashbarandgrill.com/,,
CT,Hamden,Restaurant,Bomb Wings & Rice Bar,,https://www.toobomb.com/,,
CT,Hartford,Coffee Shop,Berkins Blend Coffee,,https://berkinsblendcafe.com/,,
CT,Hartford,Restaurant,Capitol Ice Cream,,https://www.facebook.com/capitalicecreamhartford/,,
CT,Hartford,Restaurant,Karobean Kitchen,Yes,https://www.facebook.com/pages/Karobean-Kitchen/294918677592478,Order on DoorDash: https://www.doordash.com/store/karobean-kitchen-trumbull-819332/en-US/?utm_campaign=gpa,
CT,Hartford,Restaurant,Bernice Bragadosus,,https://www.facebook.com/pages/category/American-Restaurant/Bernice-Bragadosus-319920504732983/,,
CT,Hartford,Restaurant,Carson's Kitchen,,https://carsonskitchen.org/,,
CT,Hartford,Restaurant,Dunn's River,Yes,https://www.grubhub.com/restaurant/dunns-river-jamaican-restaurant-2996-main-st-hartford/907073,,
CT,Hartford,Restaurant,Fire N' Spice,,http://www.fireandspiceveganrestaurant.com/,,
CT,Hartford,Restaurant,Juiced Up Juice Bar,,https://www.grubhub.com/restaurant/juiced-up-juice-bar-231-asylum-st-hartford/1117302,,
CT,Hartford,Restaurant,Hot Pots,Yes,http://www.hotpots2go.com/menus/hotPots_storeMenu.pdf,,
CT,Hartford,Restaurant,Pabs,,https://www.facebook.com/pages/Pabs-African-Restaurant/180231912689922,,
CT,Hartford,Restaurant,Scott's Jamaican Bakery,,https://www.facebook.com/jamaicanbakery/,,
CT,Hartford,Restaurant,Sisters,,https://www.facebook.com/pages/Sisters-Restaurant-LLC/113449715355482,,
CT,Hartford,Restaurant,Stella's and Mazie's,,https://www.facebook.com/StellasAndMazies/,,
CT,Hartford,Restaurant,Sun Splash,,https://www.sunsplashbarandgrill.com/,,
CT,Hartford,Restaurant,Soulbaila,,https://www.facebook.com/SoulBaila/,,
CT,Glastonbury,Coffee Shop,Berkins Blend Cafe,,https://berkinsblendcafe.com/,,
CT,Manchester,Restaurant,Thomas Smokey Pit Stop,,http://thomassmokeypitstop.com/,,
CT,Manchester,Restaurant,Anthony's Jamaican Restaurant,,https://www.grubhub.com/restaurant/anthonys-jamaican-restaurant-410-w-middle-tpke-manchester/384320,,
CT,Meriden,Restaurant,Bentley's Little Jamaican Cuisine,,https://www.facebook.com/pages/category/Jamaican-Restaurant/Bentleys-little-Jamaica-cuisine-117039752151800/,,
CT,Middletown,Restaurant,B&B Wings and Things,,https://bandbwingsandthings.com/,,
